名前,ID,アクタータイプ,座標X,座標Y,座標Z,回転X,回転Y,回転Z,大きさX,大きさY,大きさZ,モデルのパス,優先度,ゲームタグ,当たり判定無視,トリガー,重力を受ける,コリジョンの半径,コリジョンの高さ,パスをまとめたパス
Grass,273,Stage,0,-1,5,0,0,0,20,1,20,Title/Grass,Static,Object,1,1,0,0,0,None
Sky2,0,Stage,0,0,0,0,0,0,5,5,5,Sky/Sky_Night01,Static,Sky,1,1,0,0,0,None
Higanbana,272,Stage,0,0,0,0,0,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,51,Stage,1.26,0,0.46,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,50,Stage,1.987066,0,0.4616718,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,31,Stage,1.210992,0,1.281771,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,30,Stage,0.289133,0,1.821818,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,11,Stage,3.91,0,0.85,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,10,Stage,1.457066,0,-0.07832837,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,61,Stage,-1.28,0,2.86,0,0,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,60,Stage,-1.860992,0,0.738229,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,41,Stage,-1.133926,0,0.7399008,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,40,Stage,-1.91,0,1.56,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,21,Stage,-2.831859,0,2.100047,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,20,Stage,0.7890081,0,1.128229,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,1,Stage,-1.663926,0,0.1999007,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,271,Stage,0,0,1,0,0,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,52,Stage,0.3871231,0,0.9479399,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,49,Stage,1.114189,0,0.9496117,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
Higanbana,32,Stage,0.338115,0,1.769711,0,299.2054,0,2,2,2,Title/Higanbana,Static,Object,1,1,0,0,0,None
